Dataset is copied to /tmp
Epoch: [0]  [    0/15000]  eta: 22:59:47  lr: 0.000010  loss: 5.3304 (5.3304)  loss_classifier: 4.6187 (4.6187)  loss_box_reg: 0.0135 (0.0135)  loss_objectness: 0.6938 (0.6938)  loss_rpn_box_reg: 0.0044 (0.0044)  time: 5.5192  data: 0.1233  max mem: 2412
Epoch: [0]  [   50/15000]  eta: 1:08:34  lr: 0.000260  loss: 5.1987 (5.2812)  loss_classifier: 4.4914 (4.5571)  loss_box_reg: 0.0000 (0.0032)  loss_objectness: 0.6902 (0.6921)  loss_rpn_box_reg: 0.0173 (0.0286)  time: 0.1715  data: 0.0057  max mem: 3968
Epoch: [0]  [  100/15000]  eta: 0:55:33  lr: 0.000509  loss: 4.2478 (4.9613)  loss_classifier: 3.5144 (4.2386)  loss_box_reg: 0.0137 (0.0071)  loss_objectness: 0.6729 (0.6858)  loss_rpn_box_reg: 0.0151 (0.0297)  time: 0.1733  data: 0.0059  max mem: 3968
Epoch: [0]  [  150/15000]  eta: 0:50:57  lr: 0.000759  loss: 0.9340 (3.9301)  loss_classifier: 0.2246 (3.2087)  loss_box_reg: 0.0506 (0.0277)  loss_objectness: 0.5605 (0.6599)  loss_rpn_box_reg: 0.0203 (0.0338)  time: 0.1687  data: 0.0061  max mem: 3968
Epoch: [0]  [  200/15000]  eta: 0:48:27  lr: 0.001009  loss: 0.4352 (3.1201)  loss_classifier: 0.1770 (2.4767)  loss_box_reg: 0.0541 (0.0387)  loss_objectness: 0.1683 (0.5701)  loss_rpn_box_reg: 0.0246 (0.0345)  time: 0.1670  data: 0.0057  max mem: 3968
Epoch: [0]  [  250/15000]  eta: 0:47:10  lr: 0.001259  loss: 0.3053 (2.5747)  loss_classifier: 0.1442 (2.0206)  loss_box_reg: 0.0605 (0.0449)  loss_objectness: 0.0720 (0.4752)  loss_rpn_box_reg: 0.0189 (0.0341)  time: 0.1748  data: 0.0055  max mem: 4140
Epoch: [0]  [  300/15000]  eta: 0:46:25  lr: 0.001508  loss: 0.2631 (2.1988)  loss_classifier: 0.0934 (1.7083)  loss_box_reg: 0.0440 (0.0473)  loss_objectness: 0.0716 (0.4093)  loss_rpn_box_reg: 0.0154 (0.0339)  time: 0.1746  data: 0.0055  max mem: 4140
Epoch: [0]  [  350/15000]  eta: 0:45:52  lr: 0.001758  loss: 0.3160 (1.9441)  loss_classifier: 0.1024 (1.4933)  loss_box_reg: 0.0496 (0.0515)  loss_objectness: 0.0921 (0.3643)  loss_rpn_box_reg: 0.0420 (0.0349)  time: 0.1816  data: 0.0056  max mem: 4140
Epoch: [0]  [  400/15000]  eta: 0:45:20  lr: 0.002008  loss: 0.3602 (1.7512)  loss_classifier: 0.1481 (1.3328)  loss_box_reg: 0.0823 (0.0582)  loss_objectness: 0.0537 (0.3271)  loss_rpn_box_reg: 0.0147 (0.0331)  time: 0.1771  data: 0.0057  max mem: 4140
Epoch: [0]  [  450/15000]  eta: 0:44:42  lr: 0.002258  loss: 0.2993 (1.6003)  loss_classifier: 0.1239 (1.2078)  loss_box_reg: 0.0741 (0.0630)  loss_objectness: 0.0581 (0.2979)  loss_rpn_box_reg: 0.0117 (0.0316)  time: 0.1686  data: 0.0058  max mem: 4140
Epoch: [0]  [  500/15000]  eta: 0:44:20  lr: 0.002507  loss: 0.2411 (1.4724)  loss_classifier: 0.1119 (1.1027)  loss_box_reg: 0.0573 (0.0647)  loss_objectness: 0.0586 (0.2743)  loss_rpn_box_reg: 0.0175 (0.0307)  time: 0.1734  data: 0.0056  max mem: 4140
Epoch: [0]  [  550/15000]  eta: 0:43:55  lr: 0.002757  loss: 0.2999 (1.3693)  loss_classifier: 0.1156 (1.0176)  loss_box_reg: 0.0672 (0.0666)  loss_objectness: 0.0498 (0.2550)  loss_rpn_box_reg: 0.0171 (0.0301)  time: 0.1796  data: 0.0058  max mem: 4140
Epoch: [0]  [  600/15000]  eta: 0:43:34  lr: 0.003007  loss: 0.3110 (1.2853)  loss_classifier: 0.1381 (0.9476)  loss_box_reg: 0.0619 (0.0679)  loss_objectness: 0.0656 (0.2400)  loss_rpn_box_reg: 0.0179 (0.0299)  time: 0.1714  data: 0.0057  max mem: 4140
Epoch: [0]  [  650/15000]  eta: 0:43:18  lr: 0.003257  loss: 0.2972 (1.2145)  loss_classifier: 0.1308 (0.8892)  loss_box_reg: 0.0699 (0.0701)  loss_objectness: 0.0514 (0.2261)  loss_rpn_box_reg: 0.0191 (0.0291)  time: 0.1741  data: 0.0057  max mem: 4140
Epoch: [0]  [  700/15000]  eta: 0:43:04  lr: 0.003506  loss: 0.2845 (1.1509)  loss_classifier: 0.1201 (0.8369)  loss_box_reg: 0.0665 (0.0711)  loss_objectness: 0.0494 (0.2140)  loss_rpn_box_reg: 0.0148 (0.0289)  time: 0.1735  data: 0.0057  max mem: 4140
Epoch: [0]  [  750/15000]  eta: 0:42:48  lr: 0.003756  loss: 0.2807 (1.0958)  loss_classifier: 0.1338 (0.7912)  loss_box_reg: 0.0851 (0.0719)  loss_objectness: 0.0350 (0.2037)  loss_rpn_box_reg: 0.0105 (0.0289)  time: 0.1666  data: 0.0056  max mem: 4140
Epoch: [0]  [  800/15000]  eta: 0:42:31  lr: 0.004006  loss: 0.2609 (1.0476)  loss_classifier: 0.1100 (0.7515)  loss_box_reg: 0.0704 (0.0730)  loss_objectness: 0.0419 (0.1943)  loss_rpn_box_reg: 0.0214 (0.0287)  time: 0.1734  data: 0.0057  max mem: 4140
Epoch: [0]  [  850/15000]  eta: 0:42:20  lr: 0.004256  loss: 0.3349 (1.0082)  loss_classifier: 0.1666 (0.7180)  loss_box_reg: 0.1001 (0.0746)  loss_objectness: 0.0438 (0.1867)  loss_rpn_box_reg: 0.0253 (0.0289)  time: 0.1697  data: 0.0057  max mem: 4140
Epoch: [0]  [  900/15000]  eta: 0:42:05  lr: 0.004505  loss: 0.2771 (0.9709)  loss_classifier: 0.1318 (0.6876)  loss_box_reg: 0.0801 (0.0758)  loss_objectness: 0.0423 (0.1788)  loss_rpn_box_reg: 0.0271 (0.0287)  time: 0.1746  data: 0.0057  max mem: 4140
Epoch: [0]  [  950/15000]  eta: 0:41:50  lr: 0.004755  loss: 0.2678 (0.9350)  loss_classifier: 0.1295 (0.6589)  loss_box_reg: 0.0830 (0.0762)  loss_objectness: 0.0377 (0.1715)  loss_rpn_box_reg: 0.0198 (0.0284)  time: 0.1727  data: 0.0055  max mem: 4140
Epoch: [0]  [ 1000/15000]  eta: 0:41:37  lr: 0.005000  loss: 0.2901 (0.9052)  loss_classifier: 0.1499 (0.6345)  loss_box_reg: 0.0825 (0.0774)  loss_objectness: 0.0328 (0.1652)  loss_rpn_box_reg: 0.0165 (0.0281)  time: 0.1723  data: 0.0056  max mem: 4141
Epoch: [0]  [ 1050/15000]  eta: 0:41:25  lr: 0.005000  loss: 0.2818 (0.8768)  loss_classifier: 0.1208 (0.6117)  loss_box_reg: 0.0814 (0.0782)  loss_objectness: 0.0250 (0.1593)  loss_rpn_box_reg: 0.0093 (0.0276)  time: 0.1788  data: 0.0055  max mem: 4141
Epoch: [0]  [ 1100/15000]  eta: 0:41:13  lr: 0.005000  loss: 0.3119 (0.8547)  loss_classifier: 0.1532 (0.5934)  loss_box_reg: 0.1002 (0.0801)  loss_objectness: 0.0275 (0.1539)  loss_rpn_box_reg: 0.0132 (0.0273)  time: 0.1776  data: 0.0056  max mem: 4141
Epoch: [0]  [ 1150/15000]  eta: 0:41:01  lr: 0.005000  loss: 0.2573 (0.8317)  loss_classifier: 0.1365 (0.5749)  loss_box_reg: 0.0872 (0.0810)  loss_objectness: 0.0249 (0.1489)  loss_rpn_box_reg: 0.0113 (0.0270)  time: 0.1706  data: 0.0056  max mem: 4141
Epoch: [0]  [ 1200/15000]  eta: 0:40:47  lr: 0.005000  loss: 0.3505 (0.8122)  loss_classifier: 0.1906 (0.5589)  loss_box_reg: 0.1093 (0.0823)  loss_objectness: 0.0212 (0.1443)  loss_rpn_box_reg: 0.0124 (0.0267)  time: 0.1688  data: 0.0055  max mem: 4141
Epoch: [0]  [ 1250/15000]  eta: 0:40:35  lr: 0.005000  loss: 0.2591 (0.7933)  loss_classifier: 0.1239 (0.5434)  loss_box_reg: 0.0949 (0.0832)  loss_objectness: 0.0254 (0.1402)  loss_rpn_box_reg: 0.0195 (0.0266)  time: 0.1743  data: 0.0055  max mem: 4141
Epoch: [0]  [ 1300/15000]  eta: 0:40:24  lr: 0.005000  loss: 0.2736 (0.7763)  loss_classifier: 0.1370 (0.5295)  loss_box_reg: 0.0960 (0.0842)  loss_objectness: 0.0254 (0.1361)  loss_rpn_box_reg: 0.0126 (0.0265)  time: 0.1772  data: 0.0054  max mem: 4141
Epoch: [0]  [ 1350/15000]  eta: 0:40:11  lr: 0.005000  loss: 0.2794 (0.7601)  loss_classifier: 0.1411 (0.5162)  loss_box_reg: 0.1042 (0.0848)  loss_objectness: 0.0220 (0.1327)  loss_rpn_box_reg: 0.0150 (0.0264)  time: 0.1637  data: 0.0057  max mem: 4141
Epoch: [0]  [ 1400/15000]  eta: 0:39:59  lr: 0.005000  loss: 0.2393 (0.7440)  loss_classifier: 0.1270 (0.5035)  loss_box_reg: 0.0781 (0.0849)  loss_objectness: 0.0269 (0.1293)  loss_rpn_box_reg: 0.0151 (0.0263)  time: 0.1757  data: 0.0055  max mem: 4141
